Scope	ID	Key	Value
pept	gene:13350	PKO-c	unaf
pept	gene:13350	PKO-r	1
pept	gene:13358	PKO-c	unaf
pept	gene:13358	PKO-r	1
pept	gene:13360	PKO-c	leth
pept	gene:13360	PKO-r	0
pept	gene:13361	PKO-c	impa
pept	gene:13361	PKO-r	0.641208325
pept	gene:13382	PKO-c	unaf
pept	gene:13382	PKO-r	1
pept	gene:13487	PKO-c	unaf
pept	gene:13487	PKO-r	1
pept	gene:13521	PKO-c	unaf
pept	gene:13521	PKO-r	1
pept	gene:13595	PKO-c	impa
pept	gene:13595	PKO-r	0.641208325
pept	gene:13807	PKO-c	unaf
pept	gene:13807	PKO-r	1
pept	gene:13808	PKO-c	unaf
pept	gene:13808	PKO-r	1
pept	gene:13885	PKO-c	unaf
pept	gene:13885	PKO-r	1
pept	gene:140494	PKO-c	unaf
pept	gene:140494	PKO-r	1
pept	gene:14081	PKO-c	leth
pept	gene:14081	PKO-r	0
pept	gene:14085	PKO-c	unaf
pept	gene:14085	PKO-r	1
pept	gene:14104	PKO-c	leth
pept	gene:14104	PKO-r	0
pept	gene:14120	PKO-c	unaf
pept	gene:14120	PKO-r	1
pept	gene:14121	PKO-c	unaf
pept	gene:14121	PKO-r	1
pept	gene:14137	PKO-c	impa
pept	gene:14137	PKO-r	0.641208325
pept	gene:14151	PKO-c	unaf
pept	gene:14151	PKO-r	1
pept	gene:14194	PKO-c	unaf
pept	gene:14194	PKO-r	1
pept	gene:142681	PKO-c	unaf
pept	gene:142681	PKO-r	1
pept	gene:14275	PKO-c	unaf
pept	gene:14275	PKO-r	1
pept	gene:14287	PKO-c	unaf
pept	gene:14287	PKO-r	1
pept	gene:14317	PKO-c	unaf
pept	gene:14317	PKO-r	1
pept	gene:14377	PKO-c	unaf
pept	gene:14377	PKO-r	1
pept	gene:14378	PKO-c	unaf
pept	gene:14378	PKO-r	1
pept	gene:14381	PKO-c	unaf
pept	gene:14381	PKO-r	1
pept	gene:14385	PKO-c	unaf
pept	gene:14385	PKO-r	1
pept	gene:14411	PKO-c	unaf
pept	gene:14411	PKO-r	1
pept	gene:14412	PKO-c	unaf
pept	gene:14412	PKO-r	1
pept	gene:14415	PKO-c	unaf
pept	gene:14415	PKO-r	1
pept	gene:14417	PKO-c	unaf
pept	gene:14417	PKO-r	1
pept	gene:14430	PKO-c	unaf
pept	gene:14430	PKO-r	1
pept	gene:14431	PKO-c	unaf
pept	gene:14431	PKO-r	1
pept	gene:14433	PKO-c	unaf
pept	gene:14433	PKO-r	1
pept	gene:14447	PKO-c	unaf
pept	gene:14447	PKO-r	1
pept	gene:14450	PKO-c	leth
pept	gene:14450	PKO-r	0
pept	gene:14544	PKO-c	unaf
pept	gene:14544	PKO-r	1
pept	gene:14555	PKO-c	unaf
pept	gene:14555	PKO-r	1
pept	gene:14583	PKO-c	unaf
pept	gene:14583	PKO-r	1
pept	gene:14584	PKO-c	unaf
pept	gene:14584	PKO-r	1
pept	gene:14598	PKO-c	unaf
pept	gene:14598	PKO-r	1
pept	gene:14629	PKO-c	unaf
pept	gene:14629	PKO-r	1
pept	gene:14630	PKO-c	unaf
pept	gene:14630	PKO-r	1
pept	gene:14645	PKO-c	unaf
pept	gene:14645	PKO-r	1
pept	gene:14651	PKO-c	unaf
pept	gene:14651	PKO-r	1
pept	gene:14660	PKO-c	unaf
pept	gene:14660	PKO-r	1
pept	gene:14661	PKO-c	unaf
pept	gene:14661	PKO-r	1
pept	gene:14664	PKO-c	unaf
pept	gene:14664	PKO-r	1
pept	gene:14711	PKO-c	unaf
pept	gene:14711	PKO-r	1
pept	gene:14718	PKO-c	unaf
pept	gene:14718	PKO-r	1
pept	gene:14719	PKO-c	unaf
pept	gene:14719	PKO-r	1
pept	gene:14732	PKO-c	leth
pept	gene:14732	PKO-r	0
pept	gene:14751	PKO-c	unaf
pept	gene:14751	PKO-r	1
pept	gene:14775	PKO-c	unaf
pept	gene:14775	PKO-r	1
pept	gene:14776	PKO-c	unaf
pept	gene:14776	PKO-r	1
pept	gene:14782	PKO-c	unaf
pept	gene:14782	PKO-r	1
pept	gene:14854	PKO-c	unaf
pept	gene:14854	PKO-r	1
pept	gene:14874	PKO-c	unaf
pept	gene:14874	PKO-r	1
pept	gene:14923	PKO-c	leth
pept	gene:14923	PKO-r	0
pept	gene:14936	PKO-c	unaf
pept	gene:14936	PKO-r	1
pept	gene:14979	PKO-c	unaf
pept	gene:14979	PKO-r	1
pept	gene:15107	PKO-c	unaf
pept	gene:15107	PKO-r	1
pept	gene:15108	PKO-c	unaf
pept	gene:15108	PKO-r	1
pept	gene:15109	PKO-c	unaf
pept	gene:15109	PKO-r	1
pept	gene:15112	PKO-c	unaf
pept	gene:15112	PKO-r	1
pept	gene:15116	PKO-c	unaf
pept	gene:15116	PKO-r	1
pept	gene:15117	PKO-c	unaf
pept	gene:15117	PKO-r	1
pept	gene:15118	PKO-c	unaf
pept	gene:15118	PKO-r	1
pept	gene:15211	PKO-c	unaf
pept	gene:15211	PKO-r	1
pept	gene:15212	PKO-c	unaf
pept	gene:15212	PKO-r	1
pept	gene:15233	PKO-c	unaf
pept	gene:15233	PKO-r	1
pept	gene:15275	PKO-c	unaf
pept	gene:15275	PKO-r	1
pept	gene:15277	PKO-c	unaf
pept	gene:15277	PKO-r	1
pept	gene:15288	PKO-c	unaf
pept	gene:15288	PKO-r	1
pept	gene:15356	PKO-c	unaf
pept	gene:15356	PKO-r	1
pept	gene:15357	PKO-c	impa
pept	gene:15357	PKO-r	0.641208325
pept	gene:15360	PKO-c	unaf
pept	gene:15360	PKO-r	1
pept	gene:15368	PKO-c	unaf
pept	gene:15368	PKO-r	1
pept	gene:15369	PKO-c	unaf
pept	gene:15369	PKO-r	1
pept	gene:15445	PKO-c	unaf
pept	gene:15445	PKO-r	1
pept	gene:15452	PKO-c	unaf
pept	gene:15452	PKO-r	1
pept	gene:15485	PKO-c	unaf
pept	gene:15485	PKO-r	1
pept	gene:15488	PKO-c	impa
pept	gene:15488	PKO-r	0.641208325
pept	gene:15490	PKO-c	unaf
pept	gene:15490	PKO-r	1
pept	gene:15567	PKO-c	unaf
pept	gene:15567	PKO-r	1
pept	gene:15926	PKO-c	unaf
pept	gene:15926	PKO-r	1
pept	gene:15929	PKO-c	unaf
pept	gene:15929	PKO-r	1
pept	gene:16329	PKO-c	unaf
pept	gene:16329	PKO-r	1
pept	gene:16330	PKO-c	unaf
pept	gene:16330	PKO-r	1
pept	gene:16331	PKO-c	unaf
pept	gene:16331	PKO-r	1
pept	gene:16332	PKO-c	unaf
pept	gene:16332	PKO-r	1
pept	gene:16365	PKO-c	unaf
pept	gene:16365	PKO-r	1
pept	gene:16548	PKO-c	unaf
pept	gene:16548	PKO-r	1
pept	gene:16790	PKO-c	unaf
pept	gene:16790	PKO-r	1
pept	gene:16828	PKO-c	unaf
pept	gene:16828	PKO-r	1
pept	gene:16832	PKO-c	unaf
pept	gene:16832	PKO-r	1
pept	gene:16833	PKO-c	unaf
pept	gene:16833	PKO-r	1
pept	gene:16987	PKO-c	impa
