Source	Sid	Equa
PCREATtmdiffir	R706BC626	MNXR102417
RETFA	R706BFDF2	MNXR103995
DMGDHm	R70B0FC6E	MNXR97518
ACALDtm	R710BA2AC	MNXR95212
ARGtm	R7148B79B	MNXR95954
PCLAD	R71586629	MNXR102410
DNDPt3m	R715F1BF4	MNXR97652
ADSL2	R7171E6D0	MNXR95494
OMPDC	R717C6589	MNXR102190
NTD5	R717DC0DD	MNXR102035
PPCOACm	R719248E9	MNXR103100
MNXRMNXC4	R71EBDD10	MNXR01
INSTt2r	R720F16E7	MNXR100841
UMPK3	R720F28D3	MNXR105120
PYRt2p	R730F4DD4	MNXR103385
ACGAMK	R7333F617	MNXR95249
"DNDPt14m;DNDPt22m"	R7352F8CD	MNXR97632
LYStiDF	R737F707C	MNXR101269
CBPS	R7386BAB0	MNXR96485
ICDHyrm	R73A92904	MNXR100781
PVD3	R73B23B23	MNXR103353
S6TASE5ly	R73B8A0A4	MNXR104230
URIDK2m	R73DB6EDE	MNXR105160
ARTFR61	R73F6B500	MNXR96033
MNXRMNXC13	R73FE6BA	MNXR01
HCO3_CLt	R7460DAEA	MNXR100574
CYTK6n	R7472DB39	MNXR96876
GLGNS1	R74C7E4B3	MNXR100244
CYSALANaEx	R74CD9F3E	MNXR96987
PYDXNK	R74E65BB2	MNXR103362
CYTDK1	R751D89CB	MNXR97041
P5CR	R75258D52	MNXR102302
